model,MAE,RMSE,R2
fedavg_dp_s0.05,3.178,6.765,0.767
fedavg_4hosp,3.161,6.778,0.767
fedavg_dp_s0.1,3.178,6.794,0.765
central_pooled,3.151,6.806,0.765
fedavg_dp_s0.3,3.291,6.854,0.761
