hospital_id,feature,weight
HOSP_004,roll_std_30,0.290359
HOSP_004,roll_min_30,-0.348663
HOSP_004,roll_max_30,0.33778
HOSP_004,trend_7_30,0.294957
HOSP_004,cv_30,-0.010035
HOSP_004,mom_1_7,-0.021709
HOSP_004,wow_diff,0.199471
HOSP_004,accel,0.132435
HOSP_004,market_lag1,-0.340455
HOSP_004,drug_share_lag1,-0.121586
HOSP_004,drug_M01AB,0.009725
HOSP_004,drug_M01AE,-0.124126
HOSP_004,drug_N02BA,-0.064217
HOSP_004,drug_N02BE,0.477792
HOSP_004,drug_N05B,0.110103
HOSP_004,drug_N05C,-0.159111
HOSP_004,drug_R03,-0.112604
HOSP_004,drug_R06,-0.137562
HOSP_004,__bias__,5.66056
